iter	Passed	Remaining
401	10608	15780
402	10629	15746
403	10655	15720
404	10682	15693
405	10711	15671
406	10734	15639
407	10759	15611
408	10786	15586
409	10810	15556
410	10830	15521
411	10861	15501
412	10886	15473
413	10916	15452
414	10937	15418
415	10963	15390
416	10991	15366
417	11011	15332
418	11032	15298
419	11057	15270
420	11086	15247
421	11114	15223
422	11142	15199
423	11164	15166
424	11191	15140
425	11218	15116
426	11247	15093
427	11275	15069
428	11302	15043
429	11327	15015
430	11348	14982
431	11375	14956
432	11403	14932
433	11431	14907
434	11457	14881
435	11485	14857
436	11512	14831
437	11540	14807
438	11560	14773
439	11585	14745
440	11614	14722
441	11641	14696
442	11669	14672
443	11697	14648
444	11724	14622
445	11749	14595
446	11772	14564
447	11795	14533
448	11818	14503
449	11842	14473
450	11867	14446
451	11893	14419
452	11919	14393
453	11947	14368
454	11971	14339
455	11998	14314
456	12027	14291
457	12051	14261
458	12079	14237
459	12107	14212
460	12132	14185
461	12161	14161
462	12185	14132
463	12212	14107
464	12236	14079
465	12266	14056
466	12293	14031
467	12318	14003
468	12347	13979
469	12372	13951
470	12393	13919
471	12412	13885
472	12439	13859
473	12465	13833
474	12491	13806
475	12513	13775
476	12537	13746
477	12565	13722
478	12583	13687
479	12606	13657
480	12631	13629
481	12660	13605
482	12684	13577
483	12713	13553
484	12738	13526
485	12762	13498
486	12791	13474
487	12817	13448
488	12845	13423
489	12874	13399
490	12900	13373
491	12919	13339
492	12947	13315
493	12975	13290
494	13002	13264
495	13025	13235
496	13046	13203
497	13071	13176
498	13100	13152
499	13122	13122
500	13149	13096
501	13169	13064
502	13198	13040
503	13218	13008
504	13242	12979
505	13270	12955
506	13288	12921
507	13306	12887
508	13334	12862
509	13355	12831
510	13380	12804
511	13404	12776
512	13431	12750
513	13450	12717
514	13471	12686
515	13498	12661
516	13521	12631
517	13549	12607
518	13576	12582
519	13601	12555
520	13627	12529
521	13654	12503
522	13676	12473
523	13702	12447
524	13729	12421
525	13756	12396
526	13785	12372
527	13813	12348
528	13838	12321
529	13861	12292
530	13888	12266
531	13916	12242
532	13941	12215
533	13966	12187
534	13994	12163
535	14018	12135
536	14046	12110
537	14072	12084
538	14099	12058
539	14128	12035
540	14155	12010
541	14184	11986
542	14213	11962
543	14241	11937
544	14270	11913
545	14288	11881
546	14312	11852
547	14337	11826
548	14366	11802
549	14395	11778
550	14422	11752
551	14450	11728
552	14477	11702
553	14507	11679
554	14535	11654
555	14562	11629
556	14590	11604
557	14617	11578
558	14645	11554
559	14669	11525
560	14696	11500
561	14722	11473
562	14749	11448
563	14774	11421
564	14802	11396
565	14827	11369
566	14853	11342
567	14875	11313
568	14901	11287
569	14929	11262
570	14959	11239
571	14973	11204
572	15001	11178
573	15027	11152
574	15053	11126
575	15083	11103
576	15111	11078
577	15135	11050
578	15163	11025
579	15191	11000
580	15220	10976
581	15246	10950
582	15273	10924
583	15297	10896
584	15322	10869
585	15344	10840
586	15371	10814
587	15395	10787
588	15418	10759
589	15445	10733
590	15466	10703
591	15491	10676
592	15519	10651
593	15547	10626
594	15573	10600
595	15599	10573
596	15619	10543
597	15644	10516
598	15669	10489
599	15697	10465
600	15727	10441
