iter	Logloss
0	0.3748115726
1	0.2140726257
2	0.1363973222
3	0.09403622674
4	0.06007610042
5	0.0430735189
6	0.03236498604
7	0.02471848128
8	0.02032764405
9	0.01733936077
10	0.01482394625
11	0.0133207771
12	0.0122509012
13	0.01151192048
14	0.01108979661
15	0.01072414923
16	0.01045045978
17	0.01021362333
18	0.009986874479
19	0.009731361601
20	0.00958756508
21	0.009420467385
22	0.009264744116
23	0.009161996787
24	0.009084164223
25	0.009007484901
26	0.008935787889
27	0.008839135884
28	0.008680671371
29	0.008573519193
30	0.008479963872
31	0.008346810463
32	0.008269635054
33	0.008210584521
34	0.008135902606
35	0.008085118539
36	0.008046919231
37	0.007987944504
38	0.007949298718
39	0.007890372858
40	0.007861877212
41	0.007816517279
42	0.007750558108
43	0.007687027867
44	0.007648499466
45	0.007627404946
46	0.007563188235
47	0.007529098864
48	0.007469979715
49	0.007411327023
50	0.007365764252
51	0.007344170121
52	0.007275377575
53	0.007240051035
54	0.007211620923
55	0.00716313539
56	0.007142629968
57	0.007083479665
58	0.007026900174
59	0.006961580793
60	0.006937387542
61	0.006918401394
62	0.006863765934
63	0.006848589144
64	0.006810590306
65	0.006774456787
66	0.006732646416
67	0.006681709511
68	0.006631060727
69	0.006594764726
70	0.006583677997
71	0.006559121219
72	0.006506638877
73	0.006478997471
74	0.006451141934
75	0.006423546932
76	0.006399711731
77	0.006380042342
78	0.00635999927
79	0.006326735275
80	0.006316074149
81	0.006301543011
82	0.006271826122
83	0.006259744482
84	0.006235907285
85	0.006215116478
86	0.006202161878
87	0.00618717293
88	0.006165888278
89	0.006133267773
90	0.006121659621
91	0.006116521557
92	0.006089674176
93	0.006059278612
94	0.006031705539
95	0.006018461927
96	0.006003584843
97	0.00598994773
98	0.005962193207
99	0.005947729932
100	0.005932631641
101	0.005923879654
102	0.005905734767
103	0.005893348067
104	0.00588299486
105	0.005879501604
106	0.005851258534
107	0.005836567534
108	0.005805553376
109	0.005778474376
110	0.005762157523
111	0.005737691205
112	0.005726885904
113	0.00572334183
114	0.005714572942
115	0.00570465446
116	0.005678609495
117	0.005670963629
118	0.005655726591
119	0.005646565603
120	0.005637893979
121	0.005622136343
122	0.005612850137
123	0.00556188558
124	0.005541663828
125	0.005526134411
126	0.005502620543
127	0.005486141324
128	0.005476820308
129	0.005457028374
130	0.005445609276
131	0.005429703386
132	0.005417897249
133	0.005389990138
134	0.005375482051
135	0.005365013377
136	0.005347734277
137	0.005338447341
138	0.005332876518
139	0.00532166629
140	0.005309319274
141	0.005302174311
142	0.005297950732
143	0.005291210669
144	0.005272489671
145	0.005257625125
146	0.005245244081
147	0.005242394229
148	0.005236905951
149	0.005216763171
150	0.005210094478
151	0.005193905418
152	0.00518852869
153	0.005179837263
154	0.005152740899
155	0.005141706548
156	0.005127289161
157	0.00512182282
158	0.005109290392
159	0.005083914655
160	0.005079757599
161	0.005065678161
162	0.005058297439
163	0.005049361561
164	0.00503917974
165	0.005029737993
166	0.005026008807
167	0.004997660515
168	0.00496919882
169	0.004966480742
170	0.004960811472
171	0.004954684735
172	0.004942310663
173	0.004935517905
174	0.004915722507
175	0.004905966734
176	0.004891285052
177	0.004886323179
178	0.004876354978
179	0.004834477007
180	0.004828975446
181	0.004815816555
182	0.004812549829
183	0.004804273573
184	0.004790778027
185	0.004777393605
186	0.004764513418
187	0.004755552283
188	0.004739512851
189	0.004731767843
190	0.004729432163
191	0.004720093337
192	0.004717186612
193	0.004707252303
194	0.004700249622
195	0.004695341689
196	0.004693072998
197	0.004692236083
198	0.004682241428
199	0.004663840854
200	0.004651966672
201	0.004647111944
202	0.004641204955
203	0.004628938747
204	0.00462145202
205	0.004608093876
206	0.004601677642
207	0.004597986069
208	0.00459580697
209	0.004575041612
210	0.004567367767
211	0.004550353542
212	0.004546847705
213	0.004544573349
214	0.004540273343
215	0.004534979297
216	0.00452943611
217	0.004516706464
218	0.004504010625
219	0.004498192617
220	0.004484101899
221	0.004473337212
222	0.004467339341
223	0.004459737199
224	0.004456527164
225	0.004452135698
226	0.004445210622
227	0.004441990538
228	0.004435454422
229	0.00441940923
230	0.004403450938
231	0.004400000793
232	0.004393864002
233	0.004384906491
234	0.004382905929
235	0.004380946799
236	0.004378891988
237	0.004363616
238	0.004355232758
239	0.004341751231
240	0.004332356164
241	0.004327752053
242	0.00432300782
243	0.004316907283
244	0.004309364805
245	0.00430764627
246	0.004286831776
247	0.004283184018
248	0.004273312852
249	0.004265178185
250	0.004261918207
251	0.004253888095
252	0.004250394109
253	0.00424829062
254	0.004244860983
255	0.004241146302
256	0.004226402375
257	0.004222232601
258	0.00421455876
259	0.004211495401
260	0.004207640581
261	0.004198284793
262	0.004191780958
263	0.00418491865
264	0.004182003574
265	0.004173409964
266	0.004166793034
267	0.004158038904
268	0.004154734006
269	0.004142854098
270	0.004140849645
271	0.00413389932
272	0.004131661471
273	0.004128319884
274	0.004121254935
275	0.004118783346
276	0.004115904569
277	0.004114914588
278	0.004108598818
279	0.00409370653
280	0.004091156278
281	0.004078831564
282	0.004071797117
283	0.00406252984
284	0.004057188387
285	0.004045149131
286	0.004043026441
287	0.004031945064
288	0.004029156994
289	0.004024336751
290	0.004022678989
